City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kerikeri,-35.2268,173.9474,12.73,90,100,0.89,NZ,1696017663
84,kingston,17.997,-76.7936,31.53,85,20,7.2,JM,1696017383
85,baley,51.6,116.6333,2.7,76,32,0.72,RU,1696017664
86,hawaiian paradise park,19.5933,-154.9731,28.35,76,0,2.57,US,1696017573
87,porto novo,6.4965,2.6036,24.9,87,100,2.13,BJ,1696017665
88,blackmans bay,-43.0167,147.3167,6.96,92,97,2.51,AU,1696017665
89,fort mcmurray,56.7268,-111.381,7.77,93,100,4.12,CA,1696017607
90,tionk essil,12.7856,-16.5217,29.98,85,24,2.22,SN,1696017666
91,yenangyaung,20.4667,94.8833,24.12,94,100,2.38,MM,1696017666
92,kayangel,8.0823,134.7173,28.0,80,100,8.83,PW,1696017666
93,uturoa,-16.7333,-151.4333,25.64,78,70,8.87,PF,1696017667
94,fellsmere,27.7678,-80.6014,29.99,83,100,2.68,US,1696017667
95,zhanaozen,43.3,52.8,17.15,36,86,2.81,KZ,1696017668
96,sitia,35.2,26.0986,23.88,77,13,4.18,GR,1696017668
97,jamestown,42.097,-79.2353,21.4,69,100,2.06,US,1696017654
98,andergrove,-21.0833,149.1833,17.03,82,12,3.28,AU,1696017669
99,whitehorse,60.7161,-135.0538,7.28,95,100,2.57,CA,1696017669
100,cidreira,-30.1811,-50.2056,18.8,83,60,8.77,BR,1696017669
101,vorgashor,67.5833,63.95,-0.4,79,95,0.74,RU,1696017670
102,mabaruma,8.2,-59.7833,31.54,65,19,3.82,GY,1696017670
103,modakeke,7.3833,4.2667,24.82,96,95,1.51,NG,1696017670
104,monte argentario,42.4345,11.1195,21.89,70,22,5.22,IT,1696017670
105,geraldton,-28.7667,114.6,10.23,93,40,3.6,AU,1696017671
106,punta arenas,-53.15,-70.9167,10.06,50,0,5.66,CL,1696017621
107,remire-montjoly,4.9167,-52.2667,32.02,62,20,5.14,GF,1696017671
108,pacific grove,36.6177,-121.9166,24.01,86,35,1.79,US,1696017672
109,haiku-pauwela,20.9219,-156.3051,28.36,75,23,7.65,US,1696017672
